models,defenses,AdvBench,GCG,AutoDAN,PAIR,DeepInception
vicuna_1x,SafeDecoding,0.0,0.0,0.0,0.0,0.0
llama2_1x,SafeDecoding,0.0,0.0,0.0,0.0,0.0
dolphin_1x_not_original,SafeDecoding,100.0,98.0,100.0,98.0,100.0
dolphin_2x,SafeDecoding,100.0,98.0,100.0,98.0,100.0
dolphin_4x,SafeDecoding,100.0,98.0,100.0,98.0,100.0
dolphin_8x,SafeDecoding,100.0,98.0,100.0,98.0,100.0
falcon_1x_not_original,SafeDecoding,22.0,20.0,2.0,28.0,18.0
falcon_1x,SafeDecoding,18.0,8.0,0.0,12.0,0.0
falcon_2x,SafeDecoding,22.0,12.0,0.0,16.0,0.0
falcon_4x,SafeDecoding,22.0,16.0,0.0,14.0,0.0
falcon_8x,SafeDecoding,30.0,14.0,2.0,22.0,0.0
guanaco_1x_not_original,SafeDecoding,2.0,30.0,4.0,4.0,16.0
guanaco_2x,SafeDecoding,2.0,30.0,52.0,32.0,12.0
guanaco_4x,SafeDecoding,56.0,82.0,92.0,66.0,100.0
guanaco_8x,SafeDecoding,96.0,100.0,100.0,100.0,100.0
llama2_1x_not_original,SafeDecoding,0.0,0.0,0.0,0.0,0.0
llama2_2x,SafeDecoding,0.0,0.0,0.0,10.0,6.0
llama2_4x,SafeDecoding,0.0,0.0,0.0,6.0,0.0
llama2_8x,SafeDecoding,0.0,0.0,0.0,4.0,0.0
vicuna_1x_not_original,SafeDecoding,0.0,8.0,32.0,34.0,0.0
vicuna_2x,SafeDecoding,2.0,4.0,0.0,6.0,0.0
vicuna_4x,SafeDecoding,2.0,4.0,12.0,4.0,0.0
vicuna_8x,SafeDecoding,2.0,4.0,0.0,2.0,0.0
